PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
638,17387412,3616382,CCC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)C3N(C(=O)CS3)CCC4=CC=CC=C4,Inactive,0,,,,,,,,,,,18.52,-6.78,-7.23,-6.3,-12.83,-3.02,-2.83,-7.87,-5.14,-19.33,18.52,100
639,17387426,999249,C1=CC=C(C(=C1)CN2C=CC(=N2)NC(=O)C3=CC=C(C=C3)COC4=CC=CC=C4Cl)F,Active,76,,,,16.11,,11.2,,0.66,6.04,5.34,93.63,97.02,93.12,66.43,1.31,-4.62,-6.59,-3.94,-6.33,-4.29,97.02,50
640,17387442,9606709,CC1=CC(=CC=C1)COC2=CC=CC=C2/C=N/NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,,,,,,,,,5.72,3.52,-0.16,3.52,-2.98,-2.99,-4.45,-3.22,-1.52,-3.23,5.72,100
641,17387509,135403586,CC1=NN=C(C(=O)N1/N=C/C2=C(C=CC3=CC=CC=C32)O)C4=CC=CC=C4,Active,72,,,,24.73,,22.12,,617.04,19.66,4.16,99.05,94.39,91.76,-3.27,-0.54,-9.2,-0.24,-2.94,0.72,-1.09,99.05,100
642,17387574,851428,CC1=CC=C(C=C1)C2=NOC(=N2)C3=CC4=CC=CC=C4OC3=O,Active,76,,,>,100,,11.38,,2.09,2.46,14.17,79.62,80.88,77.09,69.2,10.88,-6.63,-5.57,-19.47,-4.69,-5.44,80.88,50
643,17387587,5455865,CC1=CC(=C(N1C2=CC3=C(C=C2)N=CC=C3)C)/C=N\NC(=O)C4=CC=CS4,Active,66,,,,60.22,,36.77,,4.91,4.45,12.24,94.41,80.2,15.18,-1.56,-5.36,-31.26,-2.74,-8.34,-7.57,-5.75,94.41,100
644,17387650,135475213,CC1=CC(=CC=C1)/C=C/2\C(=O)N/C(=N\N=C\3/CC4CCC3(C4(C)C)C)/S2,Active,70,,,>,100,,25.56,,2.27,1.18,4.64,79.83,65.67,58.29,27.14,12.71,8.98,0.81,0.31,2.82,-5.64,79.83,100
645,17387679,1020611,COC1=CC(=NC(=N1)OC2=CC=CC=C2C(=O)OC3=CC=C(C=C3)Cl)OC,Inactive,0,,,,,,,,,,,5.33,1.21,-0.35,-7.36,-2.86,-6.13,-6.48,-4.3,-4.61,-5.85,5.33,100
646,17387987,901979,CCCN1C(=NC(=C1S(=O)(=O)C2=CC=CC=C2)[N+](=O)[O-])CC,Active,73,,,,23.56,,18.18,,1.73,8.47,5.37,99.6,97.91,93.7,4.03,-3.75,-1.39,-8.81,-5.5,-3.52,-9.48,99.6,100
647,17387996,5865129,CC1CC(CN(C1)C(=O)/C=C/C2=CC=C(O2)C)C,Active,66,,,,49.35,,36.29,,3.01,7.15,5.96,97.37,90.83,6.54,-3.43,-2.55,0.91,-1.08,-4.4,-13.34,-7.71,97.37,100
648,17388004,135490308,CCCCCCCC(=O)N/N=C(/C)\C1=C(C=C(OC1=O)C)O,Inactive,0,,,,,,,,,,,-9.85,-3.63,-2.96,0.61,0.91,-5.21,-1.95,-6.93,-4.59,0.24,0.91,6.25
649,17388020,6534293,CCCCC#C/C=C\1/CN2C3=CC=CC=C3N=C2S1,Inactive,0,,,,,,,,,,,0.27,-4.88,1.83,3.22,5.03,-7.25,-1.08,-40.23,-2.62,-2.98,5.03,6.25
650,17388021,4044167,CC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(S3)C)C,Inactive,0,,,,,,,,,,,-1.32,-0.47,-6.07,-1.18,-1.58,1.53,-1,-0.79,-5.9,-3.16,1.53,3.13
651,17388046,3152694,CC1=C(C(=CC=C1)N2CCN(CC2)CC(=O)NC3=NC=CS3)C,Active,65,,,,69.21,,39.3,,1.62,3.88,3.79,95.62,72.08,14.93,-1.5,-3.28,-5.14,-4.65,-4.44,-4.38,-2.48,95.62,100
652,17388089,2792369,CC1CCC2=C(C1)SC3=NC=NC(=C23)NCCCOC(C)C.Cl,Active,57,,,,74.24,,59.3,,7.08,9.78,2.81,99.53,15.87,3.62,5.24,1.41,-2.15,0.37,-1.11,-3.58,-1.35,99.53,100
653,17388227,1072944,C1CCC(CC1)NC(=O)NC2=CC3=NSN=C3C=C2,Active,63,,,>,100,,44.26,,5.73,2.85,10.75,69.24,73.21,3.85,-0.09,7.88,-2.2,0.3,0.24,-2.69,0.44,73.21,50
654,17388346,9541466,CCOC(=O)C1=CC=C(C=C1)N=C2N(C(=O)/C(=C/C3=C(N(C(=C3)C)C4=CN=CC=C4)C)/S2)C,Inactive,0,,,,,,,,,,,-1.19,-15.11,3.73,-4.39,2.22,-5.02,-4.78,0.8,-4.41,-5.81,3.73,25
655,17388567,7313804,CC1=CC(=NC2=C(C(=O)NN12)N=NC3=CC=CC(=C3)C(F)(F)F)C,Inactive,0,,,,,,,,,,,13.79,-0.92,14.42,-2.58,-3.42,12.11,-3.33,1.46,-13.01,-2.96,14.42,25
656,17401118,6266149,CCCC(=O)NC1=CC=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)SC,Active,55,,,,85.36,,64.26,,4.56,7.74,4.17,96.91,12.5,3.32,0.7,1.97,-3.18,1.24,-4.61,2.94,-9.08,96.91,100
657,17401144,135510929,CC1=C(C2=CC=CC=C2N1)/C=N/NC3=NC(=NC(=N3)NC4=CC=CC=C4)N5CCOCC5,Active,78,,,,13.59,,6.68,,0.26,3.09,3.39,98.88,97.42,97.86,84.05,47.93,4.61,-1.62,-3.17,-3.34,-4.2,98.88,100
658,17401154,6401469,C1=CC(=C(C=C1NC2=NN=C(C=C2)N3C=CN=C3)Cl)Cl,Active,72,,,,24.81,,21.92,,321.73,17.74,6.45,97.43,96.07,91.14,-1.66,-5.46,-4.96,-3.99,-10.3,-8.53,-7.64,97.43,100
659,17401177,4103346,CC1(CC2=C(C(C(=C(N2NC3=CC=CC=C3)N)C#N)C4=CC(=C(C=C4)OCC=C)OC)C(=O)C1)C,Active,64,,,>,100,,41.31,,3.32,6.02,6.58,88.55,76.55,3.33,3.29,2.41,-5.38,-7.76,-5.12,-4.84,-8.3,88.55,100
660,17401350,101246,C1=CC=C(C=C1)NN2C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,,,,,,,,,-0.14,-20.64,-0.46,-2.48,13.62,-0.09,0.81,-1.07,-0.29,-5.22,13.62,6.25
661,17401397,4002395,CCC1=CC=C(C=C1)N=CC23C4C(C(C5=CC=CC=C52)C6=CC=CC=C36)C(=O)N(C4=O)C7=CC=C(C=C7)OC,Inactive,0,,,,,,,,,,,-0.01,-11.51,-8.54,-5.01,-1.17,-5.55,-6.27,-39.01,-4.8,-8.58,-0.01,100
662,17401542,135510936,C1=CC=NC(=C1)/C=N/N=C/2\NC(=O)C(S2)CC3=CC(=CC=C3)SC(F)F,Inactive,0,,,,,,,,,,,-11.14,1.61,-7.99,-15.25,-5.62,-8.66,-6.86,-11.36,-14.13,-6.6,1.61,50
663,17401721,1860843,C1=COC(=C1)C2=NC3=C(C=C2)C(=C(S3)C(=O)NC4=CC=C(C=C4)Br)N,Inactive,0,,,,,,,,,,,2.28,2.82,0.56,-3.54,-3.74,1.2,-1.26,-3.2,-5.34,-9.03,2.82,50
664,17402121,1476315,CCOC(=O)CSC1=NC=C(C(=N1)SC2=CC=C(C=C2)OC)OC,Active,73,,,,54.33,,18.15,,1.55,2,5.92,93.89,84.73,64.37,40.48,0.57,-1.88,-1.92,-1.25,-1.7,-7.25,93.89,100
665,17402136,3762355,CC1=CC=CC=C1N2CCN(CC2)C(=O)C3=CC=C(C=C3)OC4=NC=C(C=C4)C(F)(F)F,Active,69,,,,54.61,,30.19,,2.08,3.71,6.35,95.01,91.94,28.28,18.38,0.78,-0.29,0.74,-2.54,-2.03,-5.26,95.01,100
666,17402203,5919679,C1=CC(=C(C(=C1)Cl)/C=C/C(=O)C2=CC=C(C=C2)F)F,Active,62,,,,73.03,,46.24,,1.24,4.81,2.95,99.36,58.97,5.55,3.52,0.28,0.47,-0.6,-2.16,-0.26,-7.04,99.36,100
667,17402227,1474148,COC1=CN=C(N=C1OC2=CC=C(C3=CC=CC=C32)Cl)C4=CC=CC=N4,Active,80,,,,1.38,,0.67,,0.04,3.06,5.57,93.33,95.56,94.01,95.04,94.8,94.55,86.58,65.2,13.39,-1.54,95.56,50
668,17402256,3284314,CC1(CN(N(C1=O)C(=O)C2=CC=C(C=C2)C#N)C3=CC=CC=C3)C,Inactive,0,,,,,,,,,,,2.97,-0.13,17.8,-1.13,-4.06,2.06,-3.67,2.37,-2.3,-2.72,17.8,25
669,17402401,5916006,CC1=CC=C(C=C1)C(=O)O/N=C\C2=CC(=C(C=C2)N3CCCCC3)[N+](=O)[O-],Active,59,,,>,100,,53.39,,6.98,2.35,9.72,68.73,60.36,3.43,-4.64,-1.21,-7,-1.28,-3.53,-6.3,-10.25,68.73,100
670,17402431,1471937,C1=CC2=C(C=C1Cl)N=C(C(=O)N2CCNC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl,Active,79,,,,3.37,,2.97,,70.11,17.37,8.07,97.22,95.65,96.11,91.96,88.8,71.17,-7.89,-4.58,-5.05,-13.42,97.22,100
671,17402448,1489055,C1CN(CCC1C2=NC3=CC=CC=C3S2)C(=O)CSC4=CC=C(C=C4)Cl,Active,59,,,,68.28,,53.78,,6.37,9.21,3.49,98.47,33.86,-4.49,1.34,-4.14,-0.42,-1.17,-0.81,-5.97,-4.3,98.47,100
672,17402488,3701150,CC(=O)C1=CC(=C(C=C1)N2CCC(CC2)C3=CC(=NN3)C4=C(C=C(C=C4)Cl)Cl)[N+](=O)[O-],Active,71,,,>,100,,24.31,,1.88,3.01,6.66,84.39,85.07,57.64,5.28,-1.42,-4.8,-1.52,3.78,2.2,-0.65,85.07,50
673,17402496,2766005,COCCCN1C(=N)C2=CC(=C(C=C2N=C1SCC3=CC(=CC=C3)OC)OC)OC,Active,67,,,,44.56,,33.86,,1.58,8,2.83,98.26,95.79,8.09,0.9,5.17,5.32,2.3,0.11,0,0.09,98.26,100
674,17402536,4552527,C1CN(CCC1C2=CC(=NN2)C3=C(C=C(C=C3)Cl)Cl)C4=CC(=NC(=N4)N)Cl,Active,70,,,,30.07,,25.89,,89.93,14.67,6.89,99.34,99.06,37.45,-2.82,-5.38,4.2,-7.85,-8.04,-0.89,-14.03,99.34,100
675,17402582,6505706,CC(=O)/C(=C\NC1=CC=C(C=C1)OCC2=CC=CC=C2)/C3=CC=CC=C3,Inactive,0,,,,,,,,,,,-1.34,-5.9,-4.19,0.25,0.2,-0.58,-2.96,-6.83,-1.72,-2.01,0.25,12.5
676,17402608,5825353,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)/C=C/NC3=CC=C(C=C3)OC,Active,49,,,>,100,,79.29,,4.02,6.15,4.06,80.67,5.35,6.48,-4.8,-1.33,0.31,-1.08,-4.64,-3.5,-5.56,80.67,100
677,17402757,3798960,C1=CC=C(C=C1)C(=O)C2=NN(C(=O)C=C2C(F)(F)F)C3=CC=C(C=C3)Cl,Active,73,,,,31.06,,20.08,,0.73,5.03,3.32,99.37,96.6,75.44,7.72,6.02,-5.62,0.33,2.65,-1.19,2.87,99.37,100
678,17402897,3709085,CN1C(CC(O1)COC(=O)C2=C(C=C(C=C2)Cl)Cl)C3=CC=CC=C3,Active,77,,,,22.31,,7.6,,0.63,2.04,5.8,98.85,95.49,84.73,73.29,46.93,6.65,1.69,-4.08,-4.71,-7.45,98.85,100
679,17403126,2884084,CC1=CC=C(C=C1)S(=O)(=O)C(CC(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC,Active,58,,,,92.18,,56.31,,3.03,4.46,5.46,95.33,35.61,9.22,-0.12,-5.44,-0.86,6.23,-5.55,-3.92,-8.44,95.33,100
680,17403161,3119619,CC(=O)N1C(CCN1C2=CC=CC=C2)NC3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,,,1.97,-0.08,-6.26,-0.13,-4.29,-2.66,-5.56,-2.12,0.76,-3.83,1.97,100
681,17403237,3119208,CC1(CC(C2=CC=CC=C2N1C(=O)C3=CC=CC=C3)(C)C4=CC(=CC(=C4)[N+](=O)[O-])[N+](=O)[O-])C,Active,72,,,,28.87,,20.79,,3.81,6.7,12.87,92.49,87.65,77.83,2.22,-5.73,-4.25,-29.92,-7.49,-5.9,-9.25,92.49,100
682,17403258,1091072,COC1=CC=C(C=C1)NCC2=NC3=CC=CC=C3N2CCOC4=CC=CC=C4,Active,53,,,,88.58,,69.55,,6.84,9.08,4.95,96.44,4.75,0.63,-3.32,-6.22,0.17,-5.06,-6.99,-6.02,-5.92,96.44,100
683,17403492,826461,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)/C=C/[N+](=O)[O-],Inactive,0,,,,,,,,,,,16.74,1.31,4.11,1.44,0.24,0.4,-3.19,-1.96,-3.36,-1.27,16.74,100
684,17403551,5717050,C/C(=N\NC1=CC=C(C=C1)[N+](=O)[O-])/C2=CC(=CC=C2)N,Active,56,,,,88.88,,61.18,,4.38,5.88,5.97,94.44,23.54,-2.26,-4.27,-7.89,-5.99,-3.49,-8.42,-5.97,-6.5,94.44,100
685,17406683,4279676,CC(C(=O)NC1=C(C2=C(S1)CCCC2)C(=O)NCC3=CN=CC=C3)OC4=CC=C(C=C4)F,Active,63,,,,85.97,,43.61,,2.14,3.24,4.35,96.32,59.17,16.94,-3.25,-1.09,-0.07,-2.74,2.43,-6.39,-7.25,96.32,100
686,17406686,588601,C1=CC=C(C=C1)CNC(=O)CSCC(=O)NC2=CC3=CC=CC=C3C=C2,Inactive,0,,,,,,,,,,,-0.93,-2.14,14.26,-5.14,-0.09,-19.07,-1.96,-3.69,-3.61,-8.13,14.26,25
687,17406721,1818166,CCCCCCCCSC1=NN=C(O1)CSC2=NN3C(=CC(=NC3=N2)C)C,Active,79,,,,6.27,,2.63,,0.13,2.52,3.98,98.27,97.86,97.22,95.86,84.88,64.32,20.38,1.19,-3.88,-5.97,98.27,100
688,17406743,831892,CCN1C(=C(C2=C1C=CC(=C2)C(=O)NC3=CC(=CC=C3)Cl)C)C,Active,66,,,>,100,,36.2,,3.22,2.03,6.18,79.73,71.2,32.36,8.24,-2.53,-4.26,2.23,-6.75,-1.09,-9.34,79.73,100
689,17406770,3417983,C1C2CC3(CC1CC(C2)(C3)N4C=NC(=N4)Cl)C(=O)NC5=CC(=CC(=C5)OC6=CC=CC=C6)[N+](=O)[O-],Inactive,0,,,,,,,,,,,15.15,4.37,-3.33,-5.93,9.82,0.11,-0.91,1.35,-7.45,-3.74,15.15,100
690,17406835,1017702,C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC(=O)C4=C(C=CC(=C4)N5C=NN=C5)Cl,Active,75,,,,22.03,,14.01,,0.99,4.85,7.26,81.1,97.67,94.39,36.59,1.27,3.16,-4.93,-4.13,-0.84,-2.76,97.67,50
691,17406877,847906,CCCC1=CC2=C(C=C1NC(=O)C3=CC=CC=C3Cl)OCO2,Inactive,0,,,,,,,,,,,7.35,-1.68,-1.28,-5.08,-2.78,2.2,0.37,-1.33,-1.37,0.97,7.35,100
692,17406912,3499283,CC1=CC=CC=C1C2C(=C3N=C(C4=C(N3C5=C2C(=O)CC(C5)(C)C)SC6=C4CCCCC6)N)C#N,Inactive,0,,,,,,,,,,,0.66,1.17,8.7,-1.32,-1.58,4.86,-8.88,-7.17,-0.77,-10.42,8.7,25
693,17407300,11958555,COC(=O)C1=C(ON=C1CCl)C(=O)NCC=C,Active,78,,,,14.21,,5.76,,0.46,2.44,6.08,95.85,93.15,91.99,87.96,55.62,18.44,0.5,0.77,3.01,-13.72,95.85,100
694,17407303,11958558,C1=CSC(=C1)CCNC(=O)CC2=CC=C(C=C2)NC3=NC4=C(N3)C=C(C=C4)Br,Active,69,,,,37.05,,29.61,,5.01,9.8,3.92,100.08,99.73,15.99,8.6,5.17,3.28,-0.97,2.34,-1.82,1.49,100.08,100
695,17407391,11958614,CC1=C(SC(=N1)NC(=O)CC(C)C)C2=CSC(=N2)NC3=C(C=C(C=C3)Cl)Cl,Active,65,,,,83.75,,40.19,,3.43,2.99,7.19,91.01,66.44,20.63,-2.43,-0.01,-17.39,-0.12,-5.46,-2.06,-6.02,91.01,100
696,17407431,11958654,CC(C)NC(=O)C1=C(C(=NO1)CSC2=CC(=C(C=C2)F)F)C(=O)O,Active,73,,,,22.85,,17.79,,1.42,8.78,4.32,99.82,99.73,95.2,4.34,-2.17,1.38,-4.8,-7.67,-3.64,-6.87,99.82,100
697,17407448,5431585,CC1=C(C(=NN1CC2=CC=C(O2)C(=O)N/N=C\C3=CC(=CC=C3)Br)[N+](=O)[O-])Cl,Inactive,0,,,,,,,,,,,27.64,9.35,1.15,3.44,-6.29,-1.24,-50.23,-4.99,-1.32,-7.75,27.64,100
698,17407570,1438309,CC1=CC=C(C=C1)C(=O)C2CCN(CC2)CC(=O)NC3=NC(=CS3)C,Active,61,,,,53.59,,48.38,>,9999,21.5,8.98,98.66,66.99,-12.74,-5.63,-5.01,-15.2,-5.86,-8.1,-4.03,-8.76,98.66,100
699,17407674,5734740,CC1=CC(=C(C=C1)C)N/C(=N/C2=NC(=CC(=N2)C)C)/N,Active,77,,,,12.7,,7.67,,0.61,4.36,7.45,95.95,93.92,94.45,87.23,31.46,-11.3,-4.16,-4.7,-8.34,-8.41,95.95,100
700,17407704,1430852,CC1=CC=C(C=C1)CN2C(=NN=N2)CN3CCC(CC3)C4=NC5=C(N4)C=C(C=C5)Cl,Active,68,,,,40.83,,30.99,,8.24,7.96,13.63,99.55,97.78,15.35,-1.25,-37.38,-3.57,-3.43,-1.66,-3.69,-6.83,99.55,100
701,17407803,135505895,CC1=CC2=C(C=C1)N=C(NN=C2C3=CC=C(C=C3)N4CCOCC4)C5=CC=CS5,Inactive,0,,,,,,,,,,,0.25,0.04,-21.08,-5.3,-6.86,-9.57,-0.72,-3.42,-2.14,-5.19,0.25,100
702,17407842,1441807,C1CCC2=NC3=CC(=NN3C(=C2C1)NCC4=CC=CO4)C5=CC(=CC=C5)Cl,Active,72,,,,24.66,,22.07,,1129.31,19.79,7.32,98.93,99.88,92.2,-4.68,0.49,-12.72,-6.12,-12,-3.82,-6.92,99.88,50
703,17407902,347675,C1=CC=C2C(=C1)C(=O)OC(=N2)C3=CC=CC=C3[N+](=O)[O-],Inactive,0,,,,,,,,,,,4.79,-2.91,0.6,1.93,0.03,-5.74,0.03,-1.33,-4.17,1.74,4.79,100
704,17408001,3121367,CC(C)(C)C1=CC=C(C=C1)C(=O)NNC2=CC(=NC(=N2)N3CCCCC3)N4CCCCC4,Active,56,,,,74.41,,62.67,,29.9,12.79,4.69,99.75,5.27,0.6,-7.37,6.66,-0.39,2.06,-4.23,-1.25,-7.3,99.75,100
705,17408023,11958719,C1=CC=C2C(=C1)C3=C(O2)C=C(C=C3)N.Cl,Inactive,0,,,,,,,,,,,-7.66,-0.08,-4.05,-6.54,0.55,-9.6,-2.63,-34.43,-4.55,-8,0.55,6.25
706,17408163,606916,CC1=CC(=NC(=C1C(=O)N)SCC(=O)C2=CC=C(C=C2)Cl)C,Active,51,,,>,100,,75.33,,4.34,3.91,5.23,75.07,16.98,0.56,-1.64,-5.59,-1.72,-4.35,-7.69,-1.84,-9.99,75.07,100
707,17408338,3171608,COC1=CC=C(C=C1)NC(=O)C2C3C=CC(C2C(=O)NCC4=CN=CC=C4)O3,Inactive,0,,,,,,,,,,,4.36,2.53,9.31,1.94,0.5,-2.93,0,-1.3,2.21,0.1,9.31,25
708,17408546,901041,C1=CC(=CC=C1NNC2=C3C=CC(=CC3=NC=C2)Cl)Cl,Active,74,,,,19.85,,15.36,,4.38,8.56,11.84,98.69,96.9,98.45,14.66,-1.54,-7.91,-12.16,-25.26,-13.36,-9.02,98.69,100
709,17408893,954521,CCCN1C(=NN=N1)NC(=O)C2=C(C=C(C=C2)C)Cl,Active,74,,,,33.06,,16.1,,0.86,3.05,4.54,97.5,90.91,79.76,33.42,0.1,-2.04,-4.98,-5.73,-2.4,-4.69,97.5,100
710,17408896,1442430,CC(C)(C)C1=NC2=CC=CC=C2C(=N1)SCC(=O)NC3=NC4=C(S3)CCCC4,Inactive,0,,,,,,,,,,,-2.53,-19.54,-6.19,-10.74,7.05,0.27,1.55,-5.44,-3.24,-9.52,7.05,6.25
711,17408898,5771180,CC1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=C(O2)C3=C(C=CC(=C3)C(F)(F)F)Cl)/C(=O)NCC4=CN=CC=C4,Active,51,,,>,100,,73.62,,10.76,1.5,7.36,56.14,42.65,18.12,-0.23,1.73,-10.79,-6.21,-6.81,-6.65,-6.45,56.14,100
712,17408977,5770919,CCOC1=CC=C(C=C1)N(C(C2=CC=CC=C2C)C(=O)NC3CCCC3)C(=O)/C=C/C(=O)NC4=NOC(=C4)C,Inactive,0,,,,,,,,,,,21.16,-6.05,-4.39,-8.78,-12.98,-6.41,-7.78,-11.19,-8.09,-11.87,21.16,100
713,17409183,3218494,C1CN(CCC1NC(=O)C2=CC=CC=C2F)C(=O)N3C4=CC=CC=C4SC5=CC=CC=C53,Active,41,,,>,100,>,100,,9.54,3.36,6.45,44.19,8.85,-5.37,-7.52,1.74,-9.13,-2.91,-5.4,-7.01,-7.88,44.19,100
714,17409303,135511006,C/C(=C\C1=NC2=CC=CC=C2OC1=O)/O,Active,80,,,,0.89,,0.75,,0.71,12.74,5.38,99.98,99.04,98.57,98.12,97.63,97.59,92.46,62.6,-2.89,-12.19,99.98,100
715,17409520,3567992,C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=CC3=C2N=CC=C3,Active,58,,,>,100,,56.94,,3.51,2.84,5.07,87.07,36.11,17.15,-2.97,-1.54,-3.14,-0.56,-2.61,0.34,-7.72,87.07,100
716,17409609,5707428,C1=CC=C(C=C1)COC(=O)/C=C/C2=C(C=C(C=N2)C(F)(F)F)Cl,Active,45,,,>,100,,90.52,,49.37,9.55,12.37,72.13,0.38,-13.42,-3.64,-4.08,-4.24,-5.08,-4.88,-29.34,-9.23,72.13,100
717,17409759,3734285,CN(C)CCCNC(=O)C1=CC=C(C=C1)C2=NC(=CS2)C3=CC=C(C=C3)Cl,Active,70,,,,33.83,,26.42,,4.73,8.89,7.17,99.91,97.64,38.01,-5.21,-4.6,-4.4,-8.34,-9.76,-4.07,-12.51,99.91,100
718,17409931,1483512,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)Cl)CS(=O)CC4=CC=C(C=C4)Br,Active,48,,,>,100,,83.2,,3.74,5.15,4.16,72.14,6.3,7.21,4.92,5.48,0.28,1,-4.2,-3.75,-1.47,72.14,100
719,17410116,1486694,C1CCN(C1)C2=NC3=CC=CC=C3C=C2C4=CC=C(C=C4)Cl,Active,52,,,>,100,,71.6,,6,4.14,7.64,81,16.21,14.31,4.33,-3.1,13.42,1.7,8.9,0.36,-0.91,81,100
720,17410157,3758918,COC(=O)C(CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)C(F)(F)F)N3CC4=CC=CC=C4C3=O,Inactive,0,,,,,,,,,,,5.41,-16.3,-2.52,-4.36,-9.16,0.86,4.09,3.87,-4.62,-3.41,5.41,100
721,17410345,1473228,COC1=CC=C(C=C1)C2=CC=NC3=NC(=NN23)N4CCN(CC4)C5=CC=CC=C5,Inactive,0,,,,,,,,,,,9.15,11.02,0.41,0.66,-0.97,1.14,3.13,-2.85,-4.63,-4.31,11.02,50
722,17410722,3210613,C1CCC(CC1)NC(=O)C(C2=CC3=C(C=C2)N=CC=C3)N(CC4=CC=CO4)C(=O)C5=CC6=C(C=C5)OCCO6,Inactive,0,,,,,,,,,,,4.79,-27.22,-12.56,-10,-4.98,-15.42,-11.87,-9,-12.08,-9.91,4.79,100
723,17410770,2766488,C1=C(C=C(C=C1Cl)Cl)NC2=NC=NN2,Active,55,,,>,100,,64.64,,8.49,2.06,8.83,63.1,49.77,2.19,-1.56,-4.96,-7.7,-7.36,-5.65,-2.47,-9.12,63.1,100
724,17410819,1484731,CNC1=NC(=NC2=C1CCCC2)SCC3=CC=CC=C3Cl,Active,80,,,,1.21,,0.45,,0.02,2.21,3.84,100.19,100.35,98.31,95.66,94.44,92.75,91.03,81.82,40.43,14.74,100.35,50
725,17410888,135403452,C1=CC=C2C(=C1)/C(=C/C3=C(C4=CC=CC=C4OC3=O)O)/C=N2,Active,65,,,,64.56,,38.77,,5.56,4.31,13.29,97.05,75.52,11.82,9.26,-0.36,-2.21,-35.52,-4.27,-1.64,-6.97,97.05,100
726,17410985,9581692,CCSC1=NC=C(N1C)/C=N/NC2=CC=CC=C2,Active,48,,,>,100,,82.61,,7.78,5.86,7.91,75.35,5.14,-2.73,-11.36,0.83,-11.76,-8.9,-5.21,-6.1,-8.99,75.35,100
727,17411190,3832029,C1=CC=C(C=C1)OC2=CC=C(C=C2)N=CC3=CNN(C3=O)C4=NC(=CC=C4)Cl,Active,71,,,>,100,,23.34,,420.07,15.76,15.37,78.91,70.84,74.77,-6.4,2.48,-7.57,-10.17,-10.51,-2.36,-16.48,78.91,100
728,17411198,4295451,COC1=CC=C(C=C1)N=CC2=CNNC2=O,Inactive,0,,,,,,,,,,,1.31,-11.73,-1.07,-2.81,7.5,-9.3,-4.89,-4.53,-2.63,-7.34,7.5,6.25
729,17411321,6404629,CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)NCC3=CC=CC=C3,Active,73,,,>,100,,19.17,,8.49,0.72,17.02,58.79,45.4,78.2,60.75,40.91,15.35,1.42,-8.26,0.99,-2.71,78.2,25
730,17411451,5183036,CCCCCCCCN1C=NC2=C1C=C(C(=C2N)C)C,Active,57,,,,78.33,,59.75,,11.25,8.11,8.52,98.9,18.99,7.23,0.14,-3.46,3.61,3.16,6.68,4.15,-20.8,98.9,100
731,17411462,5707211,CC1=C(SC(=N1)C2=CC=CC=C2)C(=O)/C=C/C3=CC=CC=C3,Active,76,,,,13.58,,12.39,,5459.44,23.95,7.48,97.45,96.01,93.61,55.32,-7.81,-8.5,-3.95,-3.59,-3.86,-14.4,97.45,100
732,17411483,1478923,C1=CC(=CC=C1C(=O)/C=C/SC2=NC=NN2)Cl,Active,67,,,,55.05,,34.73,,0.73,4.77,1.91,97.37,85.31,17.04,1.7,2.22,0.36,1.51,2.84,-1.72,2.43,97.37,100
733,17411503,3489657,CC1=CC=C(C=C1)C2CN(C3(C24COC5=CC=CC=C5C4=O)C6=CC=CC=C6NC3=O)C,Inactive,0,,,,,,,,,,,-10.06,-11.42,-2.12,-20.26,-16.64,-5.42,-5.66,-15.77,-4.61,-17.26,-2.12,25
734,17411539,1482007,C1=CC=C(C=C1)C2=CSC(=N2)NNC(=O)C3=CC=CC=C3,Active,65,,,>,100,,40.18,,1.96,5.39,4.35,88.4,77.34,6,0.59,-0.18,-1.94,0.02,-4.51,-1.78,1.88,88.4,100
